post_id,post_datetime,seller_type,offers.price,offers.priceCurrency,year,yr_make_model,VIN,fuel,type,size,odometer,cylinders,drive,title status,transmission,paint color,condition,offers.addressRegion,offers.addressLocality,offers.postalCode,offers.addressCountry,offers.streetAddress,offers.longitude,offers.latitude,post_expire,seller_notes,url,name,description
7645817766,2023-07-21 09:00:07-04:00,owner,47500.00,USD,2020,2020 tesla x,5YJXCBE29LF234462,electric,,,14480,,,clean,automatic,,,MI,Allen Park,48101,US,,-83.208500,42.279400,2023-08-20 13:00:07+00:00,"QR Code Link to This Post Selling my beautiful Tesla Model X Long Range Plus. It was in a fresh water flood in New Jersey so it starts but won't shift out of gear. The flood waters made it to the middle of the wheels while it was parked overnight. The trunk area had some dampness in it but no standing water was visible inside the rest of the interior. It is very clean inside and out and it powers up with the dash, big info screen, AC, heat and radio working normally.  I can't get shift it out of park which is most likely due to blown fuses that I can't find. The screen shows multiple BMS codes and the dashboard cluster says ""unable to start"". I do have both sets of keys and the battery health is normal with 50% charge left. If you know about EVs or kmow of an EV repair shop near you, this may be a great opportunity to get a deal on a 2020 Model X Long Range Plus with all of the bells and whistles.  It's black in color but wrapped in a tan satin wrap with door jams wrapped in white. Has a clear flood title with ""flood"" notated on the title and its registered and plated on my name. It comes with all of the owners manuals, 2 original keys and factory window sticker showing all of the included options. MSRP is 102,690.00 Some options it includes is the full self driving package (currently a 15k option) premium sound system, air ride auto adjusting suspension, premium white 6 passenger seat configuration. and a bunch of other options.  This Tesla is being sold As Is and I will not accept any refunds or exchanges.  It is registered and plated on my name and the title will be transferred directly to the new owner, upon completion of sale. No bank lean or loans on the title.  Title is branded with FLOOD notated on it. It's not a salvage or rebuilt title and can be transferred to the new owner without the need for a state inspection. For questions or to see additional photos,  three 1 three, triple 7, thirty 2 sixty 5 for questions. I'm open to reasonable offers.",https://detroit.craigslist.org/wyn/cto/d/allen-park-2020-tesla-model-long-range/7645817766.html,2020 Tesla Model X Long Range Plus with Full Self Driving Paid,"  Selling my beautiful Tesla Model X Long Range Plus. It was in a fresh water flood in New Jersey so it starts but won't shift out of gear. The flood waters made it to the middle of the wheels while it was parked overnight. The trunk area had some dampness in it but no standing water was visible inside the rest of the interior. It is very clean inside and out and it powers up with the dash, big info screen, AC, heat and radio working normally.     I can't get shift it out of park which is most l..."
7647482262,2023-07-25 18:03:10-04:00,dealer,9895.00,USD,2011,2011 Chevrolet Volt,1G1RD6E46BU101865,electric,hatchback,compact,93964,4 cylinders,fwd,clean,automatic,silver,excellent,MI,Taylor,48180,US,,-83.273570,42.197710,2023-08-24 22:03:08+00:00,"QR Code Link to This Post                             2011 Chevrolet Volt 5dr HB - $9,895 2011 - Chevrolet - Volt - 5dr HB with 93,964 miles.  Stock #: 9335 VIN:  1G1RD6E46BU101865  It has a    AUTOMATIC Transmission with SILVER Exterior.  This    local  MI Hatchback  has a   L4,1.4L(85 CID),DOHC Engine.  See at   Road Runner Auto Sales 24560 Eureka Rd Taylor, MI 48180 Call us at 313-200-4117 to set up a test Drive or for more information .  BatchID: W2T0D6WLHPID: 19290463",https://detroit.craigslist.org/wyn/ctd/d/taylor-2011-chevrolet-volt-5dr-hb/7647482262.html,2011 Chevrolet Volt 5dr HB,"                             2011 Chevrolet Volt 5dr HB - $9,895    2011 - Chevrolet - Volt - 5dr HB with 93,964 miles.   Stock #: 9335  VIN:  1G1RD6E46BU101865    It has a    AUTOMATIC Transmission with SILVER Exterior.   This    local  MI Hatchback  has a   L4,1.4L(85 CID),DOHC Engine.        See at    Road Runner Auto Sales  24560 Eureka Rd  Taylor, MI 48180   Call us at 313-200-4117 to set up a test Drive or for more information .                             BatchID: W2T0D6WLHP  ID: 19290463..."
7647680987,2023-07-26 11:19:50-04:00,owner,744.00,USD,2021,2021 mustang mach 1,3FMTK3SS9MMA19281,electric,SUV,full-size,12000,other,4wd,clean,automatic,black,like new,MI,Canton,48187,US,,-83.469500,42.332000,2023-08-25 15:19:50+00:00,"QR Code Link to This Post 2021 FORD Mustang MACH-E Premium trim AWD Includes ((Blue Cruise)) Self Driving package (subscription prepaid for the next 8 months) Battery is the standard 68KWH  only 12,000 miles, driven as an extra car. __________________________ Available for either buyout purchase or lease takeover. __________________________ ^^^^^^^^^^^^^^^^^^^^^Lease Takeover ^^^^^^^^^^^^^^^^^^^^ Current Lease monthly payments are: $     744     (including taxes) The lease ends in 8 months on:                              March 21, 2024 Down Payment that I paid:                  $   2,000     (requesting reimbursement to me) Ford Financial lease transfer fee:         $       75 Residual value after 8 months:             $30,624      (plus your sales tax) ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ Current Mileage:                                   12,000 as of July 2023 Mileage allowed up to:                         31,500 (2,100 miles per month left for you to drive) *******************Buyout now option ******************** Current Buyout:                $35,568.50  (good through Aug 8) Add on 6% MI sales tax:  $37,702.61 Reimburse my deposit of  $2,000 to me:                                            $39,702.61 is your Final Cost ******************************************************** Recent Recall repairs done at Jack Demmer Ford include glass seal replacement and HVAC reprogramming. 2 key FOBs included.  Original Ford recharge cord included. Optional MachE all-weather rubber floor mats included.  Located in Canton, MI 48187  Celli 248 then 39 zero-5910",https://detroit.craigslist.org/wyn/cto/d/canton-lease-takeover-2021-ford-mustang/7647680987.html,**Lease takeover** 2021 FORD Mustang MACH-E Premium AWD,"2021 FORD Mustang MACH-E Premium trim AWD    Includes ((Blue Cruise)) Self Driving package (subscription prepaid for the next 8 months)    Battery is the standard 68KWH   only 12,000 miles, driven as an extra car.  __________________________  Available for either buyout purchase or lease takeover.  __________________________    ^^^^^^^^^^^^^^^^^^^^^Lease Takeover ^^^^^^^^^^^^^^^^^^^^  Current Lease monthly payments are: $     744     (including taxes)  The lease ends in 8 months on:             ..."
7648477147,2023-07-28 13:08:17-04:00,owner,30000.00,USD,2020,2020 tesla model 3,5YJ3E1EA9LF504218,electric,,,23000,,,clean,automatic,white,like new,MI,Novi,48375,US,,-83.457700,42.460400,2023-08-27 17:08:17+00:00,QR Code Link to This Post Great CONDITION  Single owner non smoker  garage kept Only used supercharger less than 5 times VIN 5YJ3E1EA9LF504218,https://detroit.craigslist.org/okl/cto/d/novi-2020-tesla-model-sr/7648477147.html,2020 TESLA Model 3 SR +,Great CONDITION   Single owner  non smoker   garage kept    Only used supercharger less than 5 times    VIN 5YJ3E1EA9LF504218  
7649569496,2023-07-31 15:26:18-04:00,owner,29500.00,USD,2018,2018 tesla,,electric,sedan,full-size,80000,,rwd,clean,automatic,red,like new,MI,Utica,48317,US,,-83.050400,42.641300,2023-08-30 19:26:18+00:00,"QR Code Link to This Post Exceptional Tesla Model 3, RWD, Ready for Sale! I have cherished this incredible car, but it's time to bid farewell as I'm relocating to India. Meticulously maintained to perfection, this car boasts Full Self-Driving capabilities, although kindly note that it won't be included in the sale. Rest assured, it is in impeccable condition, and I recently equipped it with brand new all-season tires, which have only seen 2500 miles of use. My motivation to sell is high, and I'm eager to find a new owner as soon as possible",https://detroit.craigslist.org/mcb/cto/d/utica-tesla-model-rwd/7649569496.html,"Tesla Model 3, RWD","Exceptional Tesla Model 3, RWD, Ready for Sale!    I have cherished this incredible car, but it's time to bid farewell as I'm relocating to India. Meticulously maintained to perfection, this car boasts Full Self-Driving capabilities, although kindly note that it won't be included in the sale.    Rest assured, it is in impeccable condition, and I recently equipped it with brand new all-season tires, which have only seen 2500 miles of use. My motivation to sell is high, and I'm eager to find a new..."
7650275176,2023-08-02 13:40:43-04:00,owner,25750.00,USD,2020,2020 Tesla Model 3,,electric,sedan,,44107,,4wd,clean,automatic,black,excellent,MI,Westland,48185,US,,-83.384600,42.335800,2023-09-01 17:40:43+00:00,"QR Code Link to This Post 2020 Tesla Model 3. This sedan by Tesla features the performance trim and is powered by a dual fully electric motor with All Wheel Drive. One Owner, Keyless entry, keyless start, leather seats, glass roof, autopilot, full self-driving capability, premium audio system, wood interior trim, 20 inch alloy wheels, and much more!",https://detroit.craigslist.org/wyn/cto/d/westland-one-owner-2020-tesla-model/7650275176.html,One Owner 2020 Tesla Model 3 Standard Range dual fully electric,"2020 Tesla Model 3. This sedan by Tesla features the performance trim and is powered by a dual fully electric motor with All Wheel Drive. One Owner, Keyless entry, keyless start, leather seats, glass roof, autopilot, full self-driving capability, premium audio system, wood interior trim, 20 inch alloy wheels, and much more!  "
7650680085,2023-08-03 14:42:51-04:00,dealer,39995.00,USD,2020,2020 TESLA Y LON RANGE,,electric,sedan,mid-size,44579,,4wd,clean,automatic,white,excellent,MI,Redford,48240,US,24310 GRAND RIVER AVE,-83.280698,42.425915,,"QR Code Link to This Post 2020 TESLA  Y  LONG RANGE *** SUPER CLEAN *** MUST SEE *** FINANCING AVAILABLE *** 4WD, LEATHER, HEATED SEATS, BACK UP ASSIST, ELECTRIC, SUNROOF,DAYTIME RUNNING LIGHTS,  AIR, ALL POWER, TILT, DUAL AIR BAGS, AM/ FM/ BLUETOOTH...   AS LOW AS $495.00 DOWN ** ****WE FINANCE**** ~LOW MONTHLY PAYMENT!!!!!! ~GUARANTEED CREDIT APPROVAL!!!!!! COME OUT AND TAKE A LOOK!!! YOU'LL LEAVE A HAPPY, SATISFIED CUSTOMER!!!! **ALL OUR VEHICLES ARE CLEAN AND CLEAR TITLE** **SERVICING OUR CUSTOMERS IS OUR PRIDE,WORKING HARD TO KEEP YOU MOVING!!** ***WE ACCEPT ALL TRADE INS*** **IF IT RUNS, BRING IT IN.....IF IT DOESN'T, WE WILL PICK IT UP FOR FREE** FOR MORE INFORMATION CALL ** 313-533-9555** http://www.twinsautosalesmi.com/ KEY WORDS: 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 2002 2003 2004 2005 2006 2007 2008  2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 MERCEDES BENZ, S65,CL550, CL550, AMG, S550 4MATIC, S550 I , S600, S-CLASS, BMW, 5 SERIES, 6 SERIES, 7 SERIES, E350, C300, 328 I, 745 LI, 535I, 760LI, 645, 650 I, 335 I, 435 I, C CLASS, M CLASS, 750 LI, JAGUAR, XJ8, CLA 250, LINCOLN, MKS,MKC, 528 XI, XF, CLS 550, M3, CLS 500, AUDI, A4, QUATTRO, X DRIVE, AUDI, A4, A8, ML350, E CLASS, E350, 335 I, SL 550, PORSCHE, CAYENNE, INFINITI, M35, SL550, TT, S LINE, BENTLEY, CONTINENTAL, FLYING SPUR, AUDI, A4, XK, M6, S5, MASERATI, QUATTROPORTE, S6, ROLLS ROYCE, PHANTOM, M3, ALPINA, GRANTURISMO, LEXUS, LS460, 3 SERIES, 323I, SPEED, A8L",https://detroit.craigslist.org/wyn/ctd/d/redford-2020-tesla-long-range-super/7650680085.html,2020 TESLA  Y  LONG RANGE *** SUPER CLEAN *** MUST SEE *** FINANCING A,"2020 TESLA  Y  LONG RANGE *** SUPER CLEAN *** MUST SEE *** FINANCING AVAILABLE *** 4WD, LEATHER, HEATED SEATS, BACK UP ASSIST, ELECTRIC, SUNROOF,DAYTIME RUNNING LIGHTS,  AIR, ALL POWER, TILT, DUAL AIR BAGS, AM/ FM/ BLUETOOTH...      AS LOW AS $495.00 DOWN **  ****WE FINANCE****  ~LOW MONTHLY PAYMENT!!!!!!  ~GUARANTEED CREDIT APPROVAL!!!!!!  COME OUT AND TAKE A LOOK!!!  YOU'LL LEAVE A HAPPY, SATISFIED CUSTOMER!!!!  **ALL OUR VEHICLES ARE CLEAN AND CLEAR TITLE**  **SERVICING OUR CUSTOMERS IS OUR P..."
7650950649,2023-08-04 10:59:42-04:00,owner,29000.00,USD,2018,"2018 Long Range, RWD",,electric,sedan,mid-size,80000,other,rwd,clean,automatic,red,new,MI,Ann Arbor,48113,US,,-83.784000,42.279400,2023-09-03 14:59:42+00:00,"QR Code Link to This Post Exceptional Tesla Model 3, RWD, Ready for Sale! I have cherished this incredible car, but it's time to bid farewell as I'm upgrading to Model Y. Meticulously maintained to perfection, this car boasts Full Self-Driving capabilities, although kindly note that it won't be included in the sale. Rest assured, it is in impeccable condition, and I recently equipped it with brand new all-season tires, which have only seen 2500 miles of use. My motivation to sell is high, and I'm eager to find a new owner as soon as possible",https://annarbor.craigslist.org/cto/d/ann-arbor-tesla-model-rwd/7650950649.html,"Tesla Model 3, RWD","Exceptional Tesla Model 3, RWD, Ready for Sale!    I have cherished this incredible car, but it's time to bid farewell as I'm upgrading to Model Y. Meticulously maintained to perfection, this car boasts Full Self-Driving capabilities, although kindly note that it won't be included in the sale.    Rest assured, it is in impeccable condition, and I recently equipped it with brand new all-season tires, which have only seen 2500 miles of use. My motivation to sell is high, and I'm eager to find a ne..."
7652442669,2023-08-08 12:39:29-04:00,dealer,52000.00,USD,2021,2021 audi a3 sportback e-tron,,electric,SUV,,14984,other,4wd,clean,automatic,white,like new,MI,Utica,48315,US,15977 Leone drive,-82.969823,42.678011,2023-09-07 16:39:29+00:00,"QR Code Link to This Post 2021 AUDI ⚡️E-TRON⚡️ QUATTRO PRESTIGE  ✅FULLY SERVICED AT AUDI ✅LOW MILES ✅LIKE NEW  ✅CLEAN CARFAX  CALL/TEXT FRANK  ⭐️(586)260-4232⭐️ 🥇DEALERSHIP J-RUSinc 15977 Leone Dr Macomb, MI  48042 United States 2021 Audi ⚡️E-Tron ⚡️quattro Prestige AWD 4dr SUV finished in White exterior on Black Leather interior.  This Audi E-Tron comes equipped with features including Power Front Seats with Driver Memory, Audi Drive-Select, Bang & Olufsen Premium Sound System, Bluetooth Phone & Audio, Power Liftgate, Quad-Zone Automatic Climate Control, Power Sunroof, Heated Front Seats, Navigation, Backup Camera w/ 360 Degree Camera & Sensors, Engine Stop/Start Button, and plenty more!  Clean Carfax!   Trade-ins 🇺🇸welcome, nationwide shipping and financing also available. See less",https://detroit.craigslist.org/okl/ctd/d/utica-2021-audi-tron-quattro-prestige/7652442669.html,2021 AUDI ⚡️E-TRON ⚡️QUATTRO PRESTIGE FULLY SERVICED ⭐️(586)260-4232,"2021 AUDI ⚡️E-TRON⚡️  QUATTRO PRESTIGE   ✅FULLY SERVICED AT AUDI  ✅LOW MILES  ✅LIKE NEW   ✅CLEAN CARFAX   CALL/TEXT FRANK   ⭐️(586)260-4232⭐️  🥇DEALERSHIP J-RUSinc    15977 Leone Dr  Macomb, MI  48042  United States    2021 Audi ⚡️E-Tron ⚡️quattro Prestige AWD 4dr SUV finished in White exterior on Black Leather interior.  This Audi E-Tron comes equipped with features including Power Front Seats with Driver Memory, Audi Drive-Select, Bang &amp; Olufsen Premium Sound System, Bluetooth Phone &amp; ..."
7652443802,2023-08-08 12:41:51-04:00,dealer,52000.00,USD,2021,2021 audi a3 sportback e-tron,WA1VABGE7MB004678,electric,SUV,,14984,other,4wd,clean,automatic,white,like new,MI,Utica,48315,US,15977 Leone drive,-82.969823,42.678011,2023-09-07 16:41:51+00:00,"QR Code Link to This Post 2021 AUDI ⚡️E-TRON⚡️ QUATTRO PRESTIGE  ✅FULLY SERVICED AT AUDI ✅LOW MILES ✅LIKE NEW  ✅ONLY 14,985 MILES!!! ✅CLEAN CARFAX  CALL/TEXT FRANK  ⭐️(586)260-4232⭐️ 🥇DEALERSHIP J-RUSinc 15977 Leone Dr Macomb, MI  48042 United States 2021 Audi ⚡️E-Tron ⚡️quattro Prestige AWD 4dr SUV finished in White exterior on Black Leather interior.  This Audi E-Tron comes equipped with features including Power Front Seats with Driver Memory, Audi Drive-Select, Bang & Olufsen Premium Sound System, Bluetooth Phone & Audio, Power Liftgate, Quad-Zone Automatic Climate Control, Power Sunroof, Heated Front Seats, Navigation, Backup Camera w/ 360 Degree Camera & Sensors, Engine Stop/Start Button, and plenty more!  Clean Carfax!   Trade-ins 🇺🇸welcome, nationwide shipping and financing also available. See less",https://detroit.craigslist.org/okl/ctd/d/utica-2021-audi-tron-quattro-prestige/7652443802.html,2021 AUDI ⚡️E-TRON ⚡️QUATTRO PRESTIGE FULLY SERVICED ⭐️(586)260-4232,"2021 AUDI ⚡️E-TRON⚡️  QUATTRO PRESTIGE   ✅FULLY SERVICED AT AUDI  ✅LOW MILES  ✅LIKE NEW   ✅ONLY 14,985 MILES!!!  ✅CLEAN CARFAX   CALL/TEXT FRANK   ⭐️(586)260-4232⭐️  🥇DEALERSHIP J-RUSinc    15977 Leone Dr  Macomb, MI  48042  United States    2021 Audi ⚡️E-Tron ⚡️quattro Prestige AWD 4dr SUV finished in White exterior on Black Leather interior.  This Audi E-Tron comes equipped with features including Power Front Seats with Driver Memory, Audi Drive-Select, Bang &amp; Olufsen Premium Sound System,..."
