post_id,post_datetime,offers.price,offers.priceCurrency,year,yr_make_model,VIN,fuel,type,size,odometer,cylinders,drive,title status,transmission,paint color,condition,offers.addressRegion,offers.addressLocality,offers.postalCode,offers.addressCountry,offers.streetAddress,offers.longitude,offers.latitude,post_expire,seller_notes,url,name,description
7649983974,2023-08-01 15:54:18-05:00,8800.00,USD,2008,2008 jeep wrangler unlimited sport,,gas,SUV,mid-size,196300,6 cylinders,4wd,clean,automatic,black,good,WI,Cedarburg,53012,US,,-88.002900,43.303400,2023-08-31 20:54:18+00:00,"QR Code Link to This Post Selling my 08 Wrangler. Bought it year ago to do a v-8 conversion which is out of the cards now. Jeep runs and drives. Jeep has little to no rust, frame is perfect, no leaks , new breaks ,starter,battery,exhaust , brand new 6 inch Rough Country suspension lift. MOTO metal 20 inch wheels with 35 inch tires. Interior is nice minus one wear spot on drivers seat. Here is what I know. The transmission needs a converter and pressure pump soon. Check engine light is on for O2 sensor , EGR. AC compressor needs replaced due to bearing worn out. Everything works, heat, windows are tinted. Jeep gets a ton of attention and is in very good shape just needs someone to spend a weekend fixing the issues it has. I am selling it to pay my daughter's schooling this year. Price is set. No trades and I will not respond to offers or spam or I can send a check please. Text me your number if interested and I'll call you back. I listed it on August 1st at 345pm. Will show the Jeep at the Cedarburg Police Station only. Yes you can drive the Jeep home if you buy it. Clear clean title. I have nothing to hide",https://milwaukee.craigslist.org/cto/d/cedarburg-08-jeep-wrangler-unlimited/7649983974.html,08 Jeep Wrangler Unlimited Mechanic Special,"Selling my 08 Wrangler. Bought it year ago to do a v-8 conversion which is out of the cards now. Jeep runs and drives. Jeep has little to no rust, frame is perfect, no leaks , new breaks ,starter,battery,exhaust , brand new 6 inch Rough Country suspension lift. MOTO metal 20 inch wheels with 35 inch tires. Interior is nice minus one wear spot on drivers seat. Here is what I know. The transmission needs a converter and pressure pump soon. Check engine light is on for O2 sensor , EGR. AC compresso..."
7649983985,2023-08-01 16:54:20-04:00,10500.00,USD,2016,2016 dodge ram promaster,,diesel,,,244000,,,clean,automatic,,,MI,Sterling Heights,48310,US,,-83.070100,42.564800,2023-08-31 20:54:20+00:00,"QR Code Link to This Post 2016 ram pro Master 1500 runs and drives excellent was a company vehicle  maintain and taken care of oil changed every 3000 miles ￼all highway miles van was  only used for small deliveries ￼power windows power locks  also optional towing mode no rust solid body for Michigan truck all doors work must see to appreciate   asking $10,500 or best offer Serious inquiries only  See less  show contact info",https://detroit.craigslist.org/mcb/cto/d/sterling-heights-dodge-pro-master-2016/7649983985.html,Dodge pro master 2016,"2016 ram pro Master 1500 runs and drives excellent was a company vehicle  maintain and taken care of oil changed every 3000 miles ￼all highway miles van was  only used for small deliveries ￼power windows power locks  also optional towing mode no rust solid body for Michigan truck all doors work must see to appreciate      asking $10,500 or best offer  Serious inquiries only  See less (586)-864-4216 "
7649984092,2023-08-01 15:54:37-05:00,9995.00,USD,2015,2015 chevy silverado 1500,,gas,,,195109,6 cylinders,rwd,clean,automatic,blue,,WI,Waukesha,53187,US,1611 Lincoln Ave,-88.219600,42.999300,2023-08-31 20:54:37+00:00,"QR Code Link to This Post This is a 1owner local new truck trade and we have a Car Fax History Report. Thsi Silverado has 4.3 v8, tow package, power locks and cruise control. Shows well and drives great. Stop out and see this nice 2015 Silverado 1500.",https://milwaukee.craigslist.org/ctd/d/waukesha-2015-chevrolet-silverado-owner/7649984092.html,"2015 Chevrolet Silverado 1500 1 owner 4.3 v6, tow package Nice!","This is a 1owner local new truck trade and we have a Car Fax History Report. Thsi Silverado has 4.3 v8, tow package, power locks and cruise control. Shows well and drives great. Stop out and see this nice 2015 Silverado 1500. "
7649984236,2023-08-01 16:55:04-04:00,15495.00,USD,2015,2015 Jeep Renegade Trailhawk 4x4,ZACCJBCT0FPB65517,gas,SUV,compact,90910,4 cylinders,4wd,clean,automatic,black,excellent,MI,Mount Clemens,48043,US,44800 N Gratiot Ave,-82.861129,42.628882,2023-08-31 20:55:04+00:00,"QR Code Link to This Post 2015 Jeep Renegade Trailhawk 4x4 *ONE OWNER* This Renegade is sharp! Trailhawk Package comes loaded up with the gas saving 2.4L Four Cylinder Engine, 9 Speed Automatic Transmission, Selec-Terrain 4x4 with Rock Mode, Power Windows, Power Locks, Red Interior Accents, Bluetooth AM/FM/XM Satellite Radio With Backup Camera, Sport Alloy Wheels, Cold Weather Group Including Heated Seats and Steering Wheel, Passive Keyless Entry and Remote Start, Tinted Privacy Glass and more! This Jeep has been fully detailed and inspected and its priced to sell at Only $15,495 Call Today *FREE CARFAX REPORT AVAILABLE AT BBCARCO.COM*  Fill out our secure online application and get approved today, we have banks for all credit types and situations https://ssl-bbcarcocom.dcs-cms.com/creditapp.aspx? B and B Car Company 586 954 4611 44800 N Gratiot Ave Clinton Township, MI Located on Gratiot just south of Hall Rd on the east side of the road www.bbcarco.com",https://detroit.craigslist.org/mcb/ctd/d/mount-clemens-2015-jeep-renegade/7649984236.html,2015 Jeep Renegade Trailhawk 4x4 *ONE OWNER*,"2015 Jeep Renegade Trailhawk 4x4 *ONE OWNER* This Renegade is sharp! Trailhawk Package comes loaded up with the gas saving 2.4L Four Cylinder Engine, 9 Speed Automatic Transmission, Selec-Terrain 4x4 with Rock Mode, Power Windows, Power Locks, Red Interior Accents, Bluetooth AM/FM/XM Satellite Radio With Backup Camera, Sport Alloy Wheels, Cold Weather Group Including Heated Seats and Steering Wheel, Passive Keyless Entry and Remote Start, Tinted Privacy Glass and more! This Jeep has been fully d..."
7649984275,2023-08-01 16:55:11-04:00,30800.00,USD,2019,2019 FORD TRANSIT T250,,gas,,,102400,,,clean,automatic,white,excellent,MI,Flint,48507,US,4141 GRAND BLANC RD,-83.755627,42.914295,2023-08-31 20:55:11+00:00,"QR Code Link to This Post 2019 TRANSIT T-250 CARGO VAN  148 WHEEL BASE/ HIGH ROOF **MILES 102,400**  **3.7 LITER V-6 ENGINE**  **STOCK #:5089  **VIN: 1FTYR2XM7KKA68252 Mechanically it runs and drives like new.  The engine is the 3.7 liter V-6.  It starts quickly runs quietly and has lots of power.  The speed automatic transmission shifts smoothly.  The front end is tight.  The tires are at 65% on the front and new on the rear this week.  All dash lights are working, and show no sign of any problems.  The brakes, shocks, and belt hoses all checked out fine.  The oil is changed.  The van is serviced and ready to go to work.  ONLY $30,800                 “WE REDUCED PRICES ON 15 TRANSITS VANS”  Our hours again are Monday – Friday from 9 am to 6 pm and Saturdays from 9 am – 2:00 WE ARE ONLINE AUTO LLC.  LEARN ALL ABOUT US VISIT OUR WEBSITE ;< br> www.onlineautous.com Got questions?  Give us a call ANY TIME.   810-215-1111",https://swmi.craigslist.org/ctd/d/flint-2019-ford-transit-t250-cargo/7649984275.html,2019 FORD TRANSIT T250 CARGO **OFFER FINANCING  CALL TODAY**,"  2019 TRANSIT T-250 CARGO VAN  148 WHEEL BASE/ HIGH ROOF      **MILES 102,400**   **3.7 LITER V-6 ENGINE**   **STOCK #:5089   **VIN: 1FTYR2XM7KKA68252   Mechanically it runs and drives like new.  The engine is the 3.7 liter V-6.  It starts quickly runs quietly and has lots of power.  The speed automatic transmission shifts smoothly.  The front end is tight.  The tires are at 65% on the front and new on the rear this week.  All dash lights are working, and show no sign of any problems.  The brak..."
7649984571,2023-08-01 16:55:52-04:00,14900.00,USD,2017,2017 Dodge Journey GT AWD,,gas,,,69117,6 cylinders,4wd,clean,automatic,silver,good,MI,Ortonville,48462,US,110 South Ortonville Road,-83.451190,42.851055,2023-08-31 20:55:52+00:00,"QR Code Link to This Post 2017 Dodge Journey GT AWD! This Dodge Journey runs and drives great with only 69,117 miles on a 3.6L V6 engine with an automatic transmission! $14,900 Stock #15939 *Financing Available* Options: *Remote Start *Bluetooth Compatible w/ Apple Carplay and Android Audio *Premium Audio *Touchscreen Radio *Navigation *USB and AUX Connect *Rear Camera *Rear Parking Assist *XM Ready *Third Row Seating *Sunroof *Heated Steering Wheel *Heated Seats *Leather Seats *Cruise Control *Steering Wheel Controls *Power Driver Seat *Power Mirrors *Power Windows *Power Door Locks WE HAVE OVER 150 VEHICLES TO CHOOSE FROM! (248)382-5666 WWW.MARSHAUTOSALESLLC.COM Please Copy and Paste our web address into your browser to see all of our quality pre-owned vehicles!! Marsh Auto Sales, LLC 110 S Ortonville Road Ortonville MI, 48462 Open Hours: Monday & Thursday: 9:30am-8pm Tuesday, Wednesday, & Friday: 9:30am - 6pm Saturday: 9:30 - 4pm Marsh Auto Sales, LLC relies on external data provided by the vehicle manufacturer and other resources and, therefore, exact configuration, specifications, color and accessories are not guaranteed. We make every effort to present accurate information. Inventory is subject to prior sale and prices are subject to change without notice and cannot be combined with any other offer(s). The starting prices advertised for listed vehicles as equipped does not include other charges and/or services such as: License, Title, Registration Fees, State Taxes, Dealer Prep, Finance and/or Documentation Fees. Dealer makes no representations expressed or implied to any actual or prospective buyer or owner of this vehicle as to the existence, ownership, accuracy, description or condition of the listed vehicle or its equipment options, accessories, prices, or warranties. Tags: used truck, Ortonville, Holly, Clarkston, Fenton, Springfield, Linden, Used Cars, Pre Owned vehicles, Financing Available, Bad Credit, No Credit, Auto dealership, Warranty options, warranties available, Late hours, Open weekends",https://flint.craigslist.org/ctd/d/ortonville-2017-dodge-journey-gt-awd/7649984571.html,2017 Dodge Journey GT AWD!,"2017 Dodge Journey GT AWD! This Dodge Journey runs and drives great with only 69,117 miles on a 3.6L V6 engine with an automatic transmission!    $14,900  Stock #15939  *Financing Available*    Options:    *Remote Start  *Bluetooth Compatible w/ Apple Carplay and Android Audio  *Premium Audio  *Touchscreen Radio  *Navigation  *USB and AUX Connect  *Rear Camera  *Rear Parking Assist  *XM Ready  *Third Row Seating  *Sunroof  *Heated Steering Wheel  *Heated Seats  *Leather Seats  *Cruise Control  *..."
7649984580,2023-08-01 16:55:54-04:00,5900.00,USD,2008,2008 bmw x5 awd,,gas,,,153517,6 cylinders,4wd,clean,automatic,blue,good,MI,Ortonville,48462,US,110 S ortonville rd,-83.451190,42.851055,2023-08-31 20:55:54+00:00,"QR Code Link to This Post 2008 BMW X5 AWD! This BMW runs and drives great with 153,517 miles on a 3.0L I6 engine with an automatic transmission! $5,900 Stock #15935 *We Offer Financing!* Options: *Aftermarket Touchscreen Radio *Premium Audio *Bluetooth Compatible w/ Apple Carplay + Android Audio *Rear Camera *Rear Park Assist *XM Ready *Moonroof *Memory Seats *Heated Seats *Leather Seats *Cruise Control *Steering Wheel Controls *Power Driver/Passenger Seats *Power Mirrors *Power Windows *Power Door Locks WE HAVE OVER 150 VEHICLES TO CHOOSE FROM! (248)382-5666  WWW.MARSHAUTOSALESLLC.COM Please Copy and Paste our web address into your browser to see all of our quality pre-owned vehicles!! Marsh Auto Sales, LLC 110 S Ortonville Road Ortonville MI, 48462 Open Hours: Monday & Thursday: 9:30am-8pm Tuesday, Wednesday, & Friday: 9:30am - 6pm Saturday: 9:30 - 4pm Marsh Auto Sales, LLC relies on external data provided by the vehicle manufacturer and other resources and, therefore, exact configuration, specifications, color and accessories are not guaranteed. We make every effort to present accurate information. Inventory is subject to prior sale and prices are subject to change without notice and cannot be combined with any other offer(s). The starting prices advertised for listed vehicles as equipped does not include other charges and/or services such as: License, Title, Registration Fees, State Taxes, Dealer Prep, Finance and/or Documentation Fees. Dealer makes no representations expressed or implied to any actual or prospective buyer or owner of this vehicle as to the existence, ownership, accuracy, description or condition of the listed vehicle or its equipment options, accessories, prices, or warranties. Tags: used truck, Ortonville, Holly, Clarkston, Fenton, Springfield, Linden, Used Cars, Preowned vehicles, Financing Available, Bad Credit, No Credit, Auto dealership, Warranty options, warranties available, Late hours, Open weekends",https://flint.craigslist.org/ctd/d/ortonville-2008-bmw-x5-awd/7649984580.html,2008 BMW X5 AWD!,"2008 BMW X5 AWD! This BMW runs and drives great with 153,517 miles on a 3.0L I6 engine with an automatic transmission!    $5,900  Stock #15935  *We Offer Financing!*    Options:    *Aftermarket Touchscreen Radio  *Premium Audio  *Bluetooth Compatible w/ Apple Carplay + Android Audio  *Rear Camera  *Rear Park Assist  *XM Ready  *Moonroof  *Memory Seats  *Heated Seats  *Leather Seats  *Cruise Control  *Steering Wheel Controls  *Power Driver/Passenger Seats  *Power Mirrors  *Power Windows  *Power D..."
7649985980,2023-08-01 16:59:31-04:00,4995.00,USD,2009,2009 Ford Escape XLT,,gas,SUV,mid-size,170000,4 cylinders,fwd,clean,manual,black,excellent,OH,Bucyrus,44820,US,301 N SANDUSKY AVE,-82.975874,40.810983,2023-08-31 20:59:31+00:00,"QR Code Link to This Post 2009 Ford Escape XLS Engine:  2.5L Transmission:  5 Speed Manual Power Windows & Locks Tilt, Cruise & AC AM/FM CD Player Aux/Port 170k Miles $4995 LEONHARDT AUTO SALES, INC 301 N SANDUSKY AVE BUCYRUS, OH  44820 419-562-0624",https://mansfield.craigslist.org/ctd/d/bucyrus-2009-ford-escape-xls-hard-to/7649985980.html,2009 Ford Escape XLS - Hard to find 5 Speed," 2009 Ford Escape XLS  Engine:  2.5L  Transmission:  5 Speed Manual  Power Windows &amp; Locks  Tilt, Cruise &amp; AC  AM/FM CD Player  Aux/Port  170k Miles  $4995    LEONHARDT AUTO SALES, INC  301 N SANDUSKY AVE  BUCYRUS, OH  44820  419-562-0624  "
7649986024,2023-08-01 15:59:37-05:00,280.00,USD,2019,2019 2019 Nissan Pathfinder,5N1DR2MM9KC615188,gas,other,,90181,6 cylinders,,clean,automatic,white,like new,IL,La Grange Park,60526,US,0 Zero Money Down Bad No Credit O,-87.874000,41.831800,2023-08-31 20:59:37+00:00,"QR Code Link to This Post ""TO SEE PRICE AND MILES GO TO www.zeiglerford-nomoneydown.com and Answer 5 Easy Questions to get approved today! 2019 Nissan Pathfinder Trim: SL Body: 4D Sport Utility Color: Pearl White Tricoat Engine: V6 Trans: CVT with Xtronic Monthly Payment: $280/mo TO SEE PRICE AND MILES GO TO www.zeiglerford-nomoneydown.com For Immediate assistance with getting a car please CALL or TEXT: 331-481-1192 Payments are based on approved credit with 6.9 APR for 84 months plus tax, title, & license. Offer ends September 30, 2023. See dealer for additional details.Zeigler Ford North Riverside 2100 S Harlem North Riverside, Illinois 60546 CALL or TEXT 331-481-1192 We can help everybody get a NO MONEY DOWN AUTO LOAN TODAY, even if you have made past mistakes. Answer 5 Easy Questions at www.zeiglerford-nomoneydown.com to get approved today! We specialize in helping with: Bad Credit Good Credit No Credit Repossession Low Income Cash Job Unemployment Dissability SSI Income Forclosures Judgements Located 15 miles or less from the following cities and zip codes: RIVERSIDE 60546 BROOKFIELD 60513 HINES 60141 LYONS 60534 CHICAGO 60682 BROADVIEW 60155 BERWYN 60402 LA GRANGE PARK 60526 FOREST PARK 60130 MAYWOOD 60153 OAK PARK 60304 WESTCHESTER 60154 CICERO 60804 OAK PARK 60301 SUMMIT ARGO 60501 RIVER FOREST 60305 BELLWOOD 60104 OAK PARK 60303 HILLSIDE 60162 LA GRANGE 60525 WESTERN SPRINGS 60558 OAK PARK 60302 CHICAGO 60638 MELROSE PARK 60161 CHICAGO 60644 MELROSE PARK 60160 STONE PARK 60165 BERKELEY 60163 HINSDALE 60521 CHICAGO 60623 RIVER GROVE 60171 JUSTICE 60458 ELMWOOD PARK 60707 HINSDALE 60522 CHICAGO 60632 CHICAGO 60624 OAK BROOK 60523 CHICAGO 60651 MELROSE PARK 60164 CHICAGO 60639 ELMHURST 60126 BURBANK 60459 BRIDGEVIEW 60455 CLARENDON HILLS 60514 FRANKLIN PARK 60131 CHICAGO 60629 CHICAGO 60634 HICKORY HILLS 60457 BEDFORD PARK 60499 WESTMONT 60559 CHICAGO 60612 VILLA PARK 60181 CHICAGO 60608 WILLOWBROOK 60527 WILLOW SPRINGS 60480 CHICAGO 60641 SCHILLER PARK 60176 CHICAGO 60652 CHICAGO 60647 HARWOOD HEIGHTS 60706 HOMETOWN 60456 OAK LAWN 60454 CHICAGO 60656 CHICAGO 60609 CHICAGO 60622 CHICAGO 60636 CHICAGO 60688 CHICAGO 60681 CHICAGO 60699 CHICAGO 60691 CHICAGO 60685 CHICAGO 60677 CHICAGO 60664 CHICAGO 60673 CHICAGO 60684 CHICAGO 60687 CHICAGO 60668 CHICAGO 60690 CHICAGO 60697 CHICAGO 60694 CHICAGO 60680 CHICAGO 60696 CHICAGO 60693 CHICAGO 60670 CHICAGO 60675 CHICAGO 60695 CHICAGO 60669 CHICAGO 60686 CHICAGO 60678 CHICAGO RIDGE 60415 PALOS HILLS 60465 OAK LAWN 60453 CHICAGO 60607 CHICAGO 60701 CHICAGO 60674 CHICAGO 60642 BENSENVILLE 60105 WOOD DALE 60399 CHICAGO 60618 CHICAGO 60661 *Payments are based on approved credit with 6.9 APR for 84 months plus tax, title, & license. Offer ends September 30, 2023. See dealer for additional details.""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",https://chicago.craigslist.org/nch/ctd/d/la-grange-park-2019-nissan-pathfinder/7649986024.html,2019 Nissan Pathfinder  for $280/mo BAD CREDIT & NO MONEY DOWN,"""TO SEE PRICE AND MILES GO TO www.zeiglerford-nomoneydown.com and Answer 5 Easy Questions to get approved today!    2019 Nissan Pathfinder  Trim: SL  Body: 4D Sport Utility  Color: Pearl White Tricoat  Engine: V6  Trans: CVT with Xtronic  Monthly Payment: $280/mo    TO SEE PRICE AND MILES GO TO www.zeiglerford-nomoneydown.com    For Immediate assistance with getting a car please CALL or TEXT: 331-481-1192    Payments are based on approved credit with 6.9 APR for 84 months plus tax, title, &amp; ..."
7649986056,2023-08-01 16:59:42-04:00,1500.00,USD,2001,2001 2001 ford ranger xlt,,gas,truck,mid-size,280200,6 cylinders,4wd,clean,automatic,grey,good,OH,Perrysburg,43551,US,7444 FREMONT PIKE PERRYSBURG,-83.592700,41.542900,2023-08-31 20:59:42+00:00,QR Code Link to This Post PRESTIGE AUTO SALES 7444 FREMONT PIKE PERRYSBURG OH 419-297-9709,https://toledo.craigslist.org/ctd/d/perrysburg-2001-ford-ranger-5sp-six/7649986056.html,2001 FORD RANGER 5SP SIX,PRESTIGE AUTO SALES 7444 FREMONT PIKE PERRYSBURG OH 419-297-9709 
