condition,price,ended,vin,make,model,ebay_item_id,winning_bid
used,"US $48,900.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","May 16, 2023|14:03:36 PD",5YJXCAE25JF089783,Tesla,Model X 100D 295 FULL CHARGE,256048040264,
used,"US $42,000.0","May 12, 2023|19:33:22 PD",5YJXCAE49GF001909,Tesla,,155552048142,
used,"US $46,900.0","May 09, 2023|11:21:20 PD",5YJXCAE21HF078337,Tesla,,225550054810,
used,"US $50,500.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","May 09, 2023|09:06:01 PD",5YJXCAE20KF155657,Tesla,,256066075946,
used,,"May 08, 2023|16:23:57 PD",5YJXCBE22LF271739,Tesla,,295670955949,"US $63,188.0"
used,"US $47,000.0","May 05, 2023|10:24:10 PD",5YJXCAE23KF209291,Tesla,AWD,166070077984,
used,"US $43,995.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","May 04, 2023|11:35:05 PD",5YJXCBE25GF004844,Tesla,X 90D,314556514971,
used,"US $58,000.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Apr 30, 2023|05:36:33 PD",5YJXCBE26KF182836,Tesla,,385579292179,
used,,"Apr 29, 2023|19:10:03 PD",5YJXCBE2XGF019775,Tesla,AWD,285243873936,"US $39,300.0"
used,"US $90,000.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Apr 26, 2023|11:24:02 PD",7saxcde53nf338652,Tesla,,275766171278,
used,,"Apr 24, 2023|19:07:36 PD",5yjxcbe45gfs00400,Tesla,Signature Series,175693088565,"US $38,795.0"
used,,"Apr 18, 2023|14:59:04 PD",5yjxcae22kf157118,Tesla,AWD 100D 4dr SUV,115767049206,"US $54,500.0"
used,"US $35,950.0","Apr 15, 2023|15:00:14 PD",5YJXCDE21GF030384,Tesla,,225505527640,
used,,"Apr 13, 2023|16:00:00 PD",5YJXCBE29LF234462,Tesla,Model X 100KW Battery,125861248895,"US $45,800.0"
used,,"Apr 09, 2023|17:36:31 PD",7SAXCDE57NF360296,Tesla,,404228352552,"US $92,420.0"
used,,"Apr 04, 2023|10:16:04 PD",5yjxcae48gf014618,Tesla,,166003537580,"US $43,800.0"
used,,"Apr 02, 2023|10:14:17 PD",5YJXCDE24HF067057,Tesla,,115744994481,"US $47,200.0"
used,"US $40,900.0","Mar 30, 2023|19:03:35 PD",5YJXCBE28GF004305,Tesla,,304858903546,
used,"US $109,999.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Mar 29, 2023|07:39:38 PD",7SAXCBE69NF341763,Tesla,,125848856686,
used,"US $37,700.0","Mar 29, 2023|01:11:48 PD",5YJXCBE21GF014383,Tesla,,134497562959,
used,"US $66,800.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Mar 28, 2023|15:48:51 PD",5YJXCAE4XJF100441,Tesla,,115743018793,
used,"US $69,400.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Mar 24, 2023|20:30:06 PD",5YJXCAE22LF268267,Tesla,,334793239875,
used,,"Mar 22, 2023|15:00:00 PD",5YJXCBE24HF068469,Tesla,AWD P100D 4dr SUV,134491083995,"US $65,000.0"
used,,"Mar 21, 2023|08:42:10 PD",5YJXCBE40GF003604,Tesla,,195651578731,"US $56,300.0"
used,,"Mar 20, 2023|22:11:39 PD",5YJXCAE26KF152682,Tesla,,295561787895,"US $45,000.0"
used,,"Mar 20, 2023|17:03:13 PD",5YJXCDE24HF067057,Tesla,,115730404371,"US $50,600.0"
used,"US $60,000.0","Mar 14, 2023|15:38:55 PD",5YJXCDE20KF163436,Tesla,Long Range,134461382800,
used,,"Mar 14, 2023|10:46:33 PD",5YJXCBE26GF025430,Tesla,AWD 75D 4dr SUV,275732434447,"US $39,999.9"
used,,"Mar 12, 2023|20:01:12 PD",5YJXCBE2XGF015399,Tesla,,256000972751,"US $40,095.0"
used,,"Mar 12, 2023|15:00:00 PD",5YJXCBE29LF234462,Tesla,,125803915945,"US $50,099.0"
used,,"Mar 09, 2023|18:21:48 PS",5YJXCDE24HF067057,Tesla,,115721120149,"US $51,210.0"
used,"US $60,000.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Mar 01, 2023|06:15:02 PS",5YJXCAE44GF006659,Tesla,,334768686473,
used,"US $47,500.00|Best offer accepted| |This item was listed in the fixed price format with a Best Offer option. The seller accepted a Best Offer price","Feb 26, 2023|08:30:08 PS",5YJXCBE25HF061000,Tesla,,295538984751,
used,"US $87,500.0","Feb 25, 2023|12:02:03 PS",5YJXCDE23MF320556,Tesla,,234912025869,
used,"US $36,950.0","Feb 25, 2023|10:15:15 PS",5YJXCBE25GF018839,Tesla,"75D AWD. Dual Motor, Autopilot, Free Supercharging",225422844915,
used,"US $71,690.0","Feb 25, 2023|09:11:05 PS",5YJXCBE27LF244794,Tesla,,374530146762,
used,"US $49,000.0","Feb 24, 2023|12:00:16 PS",5YJXCBE2XJF127711,Tesla,AWD 75D 4dr SUV,204251794490,
