list_date,model_year,price,vin,make,model,mileage,state
,2021,"82,500",1FT8W2BT7MED24365,Ford,F250 Lariat w/ Lariat Ultimate Package,,MI
08.04.2023,2016,"12,000",1c4njpfa2gd526872,jeep,patriot high altitude,"93,463",MI
08.04.2023,2016,"12,000",1c4njpfa2gd526872,jeep,patriot high altitude,"93,463",MI
06.27.2023,2020,"27,330",1gkknkls8lz164233,gmc,acadia sle w/ driver convenience package,"19,419",MI
08.02.2023,2020,"43,995",1c6srflt5ln205058,ram,1500 rebel,"27,346",MI
08.02.2023,2022,"63,277",1c4sjvbt2ns180555,jeep,wagoneer series ii w/ convenience group i,"6,250",MI
08.05.2023,2018,"19,995",5n1at2mv4jc815858,nissan,rogue sl,"64,675",MI
08.02.2023,2021,"28,495",1c4pjmdx4md161797,jeep,cherokee limited,"26,592",MI
07.24.2023,2021,"34,202",1fter4fh2mld46166,ford,ranger xlt w/ equipment group 301a mid,"14,837",MI
07.26.2023,2022,"33,759",1c4pjmbx2nd504739,jeep,cherokee trailhawk,"25,447",MI
08.01.2023,2020,"42,103",1c4sdjct4lc188324,dodge,durango r/t w/ blacktop package,"16,428",MI
08.14.2023,2022,"75,991",1g1ya3d4xn5120504,chevrolet,corvette stingray convertible w/ 1lt,"9,223",MI
