other,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,VIN
2021 toyota prius hybrid,excellent,4 cylinders,fwd,hybrid,60949,silver,compact,lien,automatic,hatchback,
1983 oldsmobile custom cruiser wagon,fair,,,gas,666,brown,full-size,clean,automatic,wagon,
2016 Chevrolet Cruze Limited,excellent,,,gas,69079,silver,,clean,automatic,sedan,1G1PE5SB7G7127818
2011 GMC Acadia,excellent,,fwd,gas,168574,black,,clean,automatic,SUV,1GKKRNED9BJ367827
2012 Chevrolet Suburban,excellent,,4wd,gas,180592,brown,,clean,automatic,SUV,1GNSKJE76CR205649
2015 Chevrolet Equinox,excellent,,4wd,gas,154825,,,clean,automatic,SUV,2GNFLGE36F6283234
2020 Buick Encore GX,excellent,3 cylinders,fwd,gas,25328,,compact,clean,automatic,SUV,KL4MMDSL6LB084381
2008 Ford F-250 SD,excellent,,4wd,diesel,233258,grey,,clean,automatic,pickup,1FTSW21R78EA48559
2008 Ford Fusion SEL AWD,good,6 cylinders,4wd,gas,235,black,mid-size,clean,automatic,sedan,
2003 ford explorer xlt 4x4,excellent,,,gas,90000,,,clean,automatic,SUV,
2009 bmw 328xi,good,,,gas,73000,blue,,clean,automatic,,
2018 dodge grand caravan,good,6 cylinders,fwd,gas,77000,white,mid-size,rebuilt,automatic,mini-van,
2007 gmc sierra 2500hd|odometer broken,salvage,8 cylinders,4wd,gas,150000,white,,clean,automatic,truck,
2009 subaru forester awd||more ads  by this user        |,like new,4 cylinders,4wd,gas,148000,blue,full-size,clean,automatic,wagon,
2020 Volkswagen Jetta,excellent,4 cylinders,fwd,gas,30544,white,compact,clean,automatic,sedan,3VWCB7BU2LM053684
2015 Dodge Ram 1500,excellent,8 cylinders,4wd,gas,87250,black,full-size,clean,automatic,pickup,1C6RR7KT7FS599741
2020 GMC Terrain,excellent,4 cylinders,fwd,gas,21833,white,mid-size,clean,automatic,SUV,3GKALMEV1LL276531
2000 toyota celica,fair,4 cylinders,fwd,gas,229000,black,compact,clean,manual,hatchback,
2015 Honda Accord,excellent,4 cylinders,fwd,gas,55000,white,full-size,clean,automatic,sedan,1HGCR2F5XFA273811
2013 subaru impreza 2.0i premium,fair,,,gas,120881,blue,,clean,automatic,sedan,
2019 hyundai sonata,excellent,,fwd,gas,41900,white,full-size,clean,automatic,,
2021 Buick Encore,excellent,4 cylinders,4wd,gas,21334,white,compact,clean,automatic,SUV,KL4CJESM8MB361567
2013 Ford Focus,excellent,,fwd,gas,189020,silver,,clean,automatic,sedan,1FADP3F25DL208814
2010 GMC Acadia,excellent,,fwd,gas,82420,black,,clean,automatic,SUV,1GKLRKED1AJ225246
2012 Ford F-150,excellent,,4wd,gas,116552,grey,,clean,automatic,pickup,1FTFW1ET9CKD63052
2007 HUMMER H3,excellent,,4wd,gas,136884,black,,clean,automatic,SUV,5GTDN13EX78238216
2012 Cadillac SRX,excellent,,fwd,gas,204635,blue,,clean,automatic,SUV,3GYFNAE30CS633125
2018 bmw 325i,excellent,4 cylinders,rwd,gas,25477,white,full-size,clean,manual,sedan,WBA8A9C56JAH14903
2022 volkswagen golf r,excellent,,,gas,12938,black,,lien,manual,hatchback,
2008 bmw x3,excellent,,,gas,129000,,,clean,automatic,,
2000 toyota 4runner,fair,6 cylinders,4wd,gas,226355,,,clean,automatic,offroad,JT3HN86R3Y0311463
2007 pontiac g6 gt,fair,6 cylinders,fwd,gas,146528,black,compact,clean,automatic,convertible,1G2ZH361274184219
2015 ford fusion titanium,excellent,4 cylinders,fwd,gas,129400,silver,mid-size,clean,automatic,sedan,
2019 Volkswagen Tiguan,excellent,4 cylinders,4wd,gas,35886,silver,mid-size,clean,automatic,SUV,3VV0B7AX5KM053812
2009 ford fusion,excellent,6 cylinders,fwd,gas,206095,silver,mid-size,clean,automatic,sedan,
2000 bmw 528i,excellent,6 cylinders,,gas,139500,silver,mid-size,clean,automatic,other,
